gene	EarlyMean	PreMeiMean	MeiMean	DICMean
ME2	21.966359223301	27.2014285714286	102.533128078818	49.6662111801242
ME3	0	0	0	0
MEA1	108.465235783634	159.408148148148	139.627561576355	153.280683229814
MEAF6	175.285062413315	243.917619047619	296.491206896552	244.059378881988
MEAT6	0	0	0	0
MECOM	0	0	0.00729064039408871	0
MECP2	61.685866851595	60.597671957672	58.4581527093596	33.3795031055901
MECR	29.2315256588072	8.86518518518518	6.9898275862069	21.6798757763975
MED1	22.6593689320388	20.0126984126984	40.6276108374384	20.8892546583851
MED10	48.16673370319	148.353333333333	110.348866995074	153.985714285714
MED11	28.0076282940361	24.5460317460317	39.9356157635468	47.0454037267081
MED12	0.236615811373093	10.010582010582	22.5394334975369	4.90670807453416
MED12L	6.2918585298197	4.4642328042328	17.2952216748768	38.2715527950311
MED13	39.6267545076283	36.0944444444444	105.656379310345	42.7168944099379
MED13L	9.84169209431345	20.0671957671958	71.3692118226601	47.8774534161491
MED14	10.2759292649099	9.07312169312169	113.242339901478	38.6073913043478
MED14OS	0.0149583911234397	0	5.59586206896552	3.49217391304348
MED15	31.8202635228849	21.7482010582011	38.1391379310345	35.2591925465839
MED15P9	0	0	0.609507389162562	2.07701863354037
MED16	28.3201109570042	85.2072486772487	41.4301477832512	426.464906832298
MED17	20.0666712898752	30.6496825396825	30.1549261083744	17.5916770186335
MED18	5.4728294036061	1.75910052910053	1.53253694581281	3.41795031055901
MED19	155.369625520111	239.453915343915	263.754187192118	323.794223602485
MED20	63.0032454923717	43.4089417989418	22.2750492610837	25.3057763975155
MED21	69.7139112343967	62.5443386243386	81.2782266009852	52.9234161490683
MED22	2.53316920943135	34.6503174603175	31.9094088669951	4.33273291925466
MED23	18.1926490984743	6.20074074074074	31.1944334975369	18.5035403726708
MED24	11.916879334258	15.3808994708995	11.4370197044335	4.45068322981367
MED25	6.47212205270458	23.4077248677249	33.8898275862069	22.8394409937888
MED26	1.76754507628294	0.735343915343916	12.3047044334975	6.68919254658385
MED27	30.8534604715673	26.4786772486773	33.2375369458128	29.8111180124224
MED28	147.446137309293	83.3054497354497	66.8704679802956	73.068198757764
MED29	73.4792024965326	55.7735978835979	69.9919458128079	60.2150310559006
MED30	9.78218446601942	10.1865079365079	18.006354679803	19.0950310559006
MED31	4.97956310679612	20.3543386243386	37.8674137931035	11.118198757764
MED4	303.076879334258	378.555343915344	299.522290640394	204.665900621118
MED4-AS1	0	0	0	0
MED6	55.245027739251	35.7848677248677	10.8556896551724	40.0555900621118
MED7	48.4774618585298	75.0498941798942	183.552931034483	106.479378881988
MED8	43.3985298196949	100.786137566138	100.67645320197	159.999130434783
MED9	18.9324826629681	28.1461904761905	24.2610344827586	8.35776397515528
MEDAG	0	0	0	0
MEF2A	21.0276282940361	46.0425396825397	132.439359605911	88.4349068322982
MEF2B	0	0	0	0
MEF2BNB	24.0645700416089	20.3648148148148	29.8173399014778	45.9073291925466
MEF2BNB-MEF2B	0	0	0	0
MEF2C	0	0.146719576719577	0	0
MEF2C-AS1	0	0	0	0
MEF2D	5.53223300970874	5.08148148148148	12.784039408867	13.4828571428571
MEFV	0	0	0	0
MEG3	1405.26219140083	97.5326455026455	75.1984975369458	21.9318633540373
MEG8	0.0992857142857144	0	0	0
MEG9	0.188814147018031	0	0	0.0120496894409938
MEGF10	0	0	0.0789901477832514	0
MEGF11	0	0	0	40.0271428571429
MEGF6	0	0	0.0780049261083744	1.53254658385093
